scientificName,catalogNumber,recordedBy,eventDate,year,country,stateProvince,decimalLatitude,decimalLongitude
Culex culex pipiens,BMNH(E)966003,['Leonard Parmenter'],,1946,United Kingdom,England,51.313283,-0.30114
"Aedes (Ochlerotatus) punctor Kirby, 1837",BMNH(E)964406,['Mr Charles N. Colyer'],,1947,United Kingdom,England,51.332077,-0.357865
"Aedes (Ochlerotatus) punctor Kirby, 1837",BMNH(E)964399,['Mr Charles N. Colyer'],,1949,United Kingdom,England,51.315653,-0.473248
"Aedes (Aedes) communis Meigen, 1818",BMNH(E)966588,['Charles O. Waterhouse (use this one for Entomology records!)'],,1902,United Kingdom,England,51.332077,-0.357865
"Aedes (Aedes) communis Meigen, 1818",BMNH(E)966587,['Charles O. Waterhouse (use this one for Entomology records!)'],,1902,United Kingdom,England,51.332077,-0.357865
"Aedes (Aedes) communis Meigen, 1818",BMNH(E)966586,['Charles O. Waterhouse (use this one for Entomology records!)'],,1902,United Kingdom,England,51.332077,-0.357865
"Culex Linnaeus, 1758",BMNH(E)966170,['Colin Ryder Vardy'],,1958,United Kingdom,England,50.863795,-1.52607
"Culex Linnaeus, 1758",BMNH(E)966169,['Colin Ryder Vardy'],,1960,United Kingdom,England,51.007817,-0.114898
"Culiseta (Culiseta) annulata Schrank, 1776",BMNH(E)965737,['Dr Peter F. Mattingly'],,1957,United Kingdom,England,51.282054,-0.029843
Culex culex pipiens,BMNH(E)964805,['Dr Peter F. Mattingly'],,1953,United Kingdom,England,51.282054,-0.029843
"Coquillettidia (Coquillettidia) richiardii (Ficalbi, 1889)",BMNH(E)964646,['H Campion'],,1912,United Kingdom,England,51.520207,-0.307865
"Aedes (Ochlerotatus) rusticus Rossi, 1837",BMNH(E)964637,['Professor Owain Westmacott Richards'],,1942,United Kingdom,England,51.496518,-0.553649
"Aedes (Ochlerotatus) caspius Pallas, 1771",BMNH(E)963966,['Colin Ryder Vardy'],,1960,United Kingdom,England,51.454398,0.307912
"Aedes (Ochlerotatus) caspius Pallas, 1771",BMNH(E)963934,['F W. Terry'],,1902,United Kingdom,England,51.448414,0.221975
"Aedes (Ochlerotatus) caspius Pallas, 1771",BMNH(E)963932,['F W. Terry'],,1902,United Kingdom,England,51.448414,0.221975
"Aedes (Ochlerotatus) caspius Pallas, 1771",BMNH(E)963931,['F W. Terry'],,1902,United Kingdom,England,51.448414,0.221975
"Aedes (Ochlerotatus) caspius Pallas, 1771",BMNH(E)963930,['F W. Terry'],,1902,United Kingdom,England,51.448414,0.221975
"Aedes (Ochlerotatus) caspius Pallas, 1771",BMNH(E)963927,['F W. Terry'],,1902,United Kingdom,England,51.448414,0.221975
"Aedes (Ochlerotatus) caspius Pallas, 1771",BMNH(E)963848,['Colin Ryder Vardy'],,1959,United Kingdom,England,50.88127,-1.413597
"Aedes (Ochlerotatus) caspius Pallas, 1771",BMNH(E)963845,['Colin Ryder Vardy'],,1959,United Kingdom,England,50.88127,-1.413597
"Aedes (Ochlerotatus) caspius Pallas, 1771",BMNH(E)963844,['Colin Ryder Vardy'],,1959,United Kingdom,England,50.88127,-1.413597
"Aedes (Ochlerotatus) caspius Pallas, 1771",BMNH(E)963843,['Colin Ryder Vardy'],,1959,United Kingdom,England,50.88127,-1.413597
"Aedes (Finlaya) geniculatus (Olivier, 1791)",BMNH(E)963329,['Leonard Parmenter'],,1964,United Kingdom,England,51.282054,-0.029843
"Aedes (Finlaya) geniculatus (Olivier, 1791)",BMNH(E)963244,['Frederick W. Edwards'],,1912,United Kingdom,England,51.637457,-0.332407
"Culex Linnaeus, 1758",BMNH(E)966175,['Colin Ryder Vardy'],,1953,United Kingdom,England,50.9141,-1.4986
"Culex Linnaeus, 1758",BMNH(E)966174,['Colin Ryder Vardy'],,1953,United Kingdom,England,50.9141,-1.4986
"Culex Linnaeus, 1758",BMNH(E)966173,['Colin Ryder Vardy'],,1958,United Kingdom,England,50.9141,-1.4986
"Culex Linnaeus, 1758",BMNH(E)966172,['Colin Ryder Vardy'],,1959,United Kingdom,England,50.9141,-1.4986
"Culex Linnaeus, 1758",BMNH(E)966171,['Colin Ryder Vardy'],,1952,United Kingdom,England,50.9141,-1.4986
"Culex Linnaeus, 1758",BMNH(E)966158,['Colin Ryder Vardy'],,1951,United Kingdom,England,50.9141,-1.4986
"Culex Linnaeus, 1758",BMNH(E)966157,['Colin Ryder Vardy'],,1953,United Kingdom,England,50.9141,-1.4986
